# LeakReport
# from new @ |      size  # Pointer Addr
L 0x7fbb43ffb34b           8  # 0x6c10d0
L 0x7fbb43e677ab           2  # 0x75dbc0
L 0x7fbb43ffc03a          96  # 0x6e7c50
L 0x7fbb43e677ab           2  # 0x796890
L 0x7fbb43e677ab          50  # 0x768bd0
L 0x7fbb43ebed82          40  # 0x6c3690
L 0x7fbb43e677ab          50  # 0x7986d0
L 0x7fbb43e677ab          21  # 0x797bf0
L 0x7fbb43e677ab          28  # 0x7998e0
L 0x7fbb31429cd8          32  # 0x798e80
L 0x7fbb43e677ab           3  # 0x7988d0
L 0x7fbb43e677ab          38  # 0x796d40
L 0x7fbb43e677ab          12  # 0x79f3e0
L 0x7fbb43e677ab          50  # 0x7a1250
L 0x7fbb43e677ab           3  # 0x7a0740
L 0x7fbb20318b95          72  # 0x7eaf80
L 0x7fbb203074a3          72  # 0x7fd720
L 0x7fbb204501df          16  # 0x7efab0
L 0x7fbb2040e712         104  # 0x86d5b0
L 0x7fbb203256b3          72  # 0x8772c0
L 0x7fbb205ff420         120  # 0x86f340
L 0x7fbb20f74790          72  # 0x809ca0
L 0x7fbb43e677ab          38  # 0x7b1310
L 0x7fbb43ed08ce          16  # 0x8818a0
L 0x7fbb20406fdc         304  # 0x8bca20
L 0x7fbb20455f34         512  # 0x8b60c0
L 0x7fbb203fd362         168  # 0x8bcc20
L 0x7fbb2046e892          32  # 0x8bd310
L 0x7fbb203075dd          44  # 0x8be810
L 0x7fbb205ff806          16  # 0x8bdb00
L 0x7fbb203cda1d          21  # 0x8c71a0
L 0x7fbb203cda1d          21  # 0x8c7120
L 0x7fbb2030793f        4608  # 0x8c0cb0
L 0x7fbb203fd362         168  # 0x8bcb60
L 0x7fbb20326773          72  # 0x8773d0
L 0x7fbb43e677ab          12  # 0x79a020
L 0x7fbb203587ed          42  # 0x8cac80
L 0x7fbb203586b3          72  # 0x8cac20
L 0x7fbb203cda1d          18  # 0x8cc150
L 0x7fbb203cda1d          20  # 0x8cc440
L 0x7fbb20f748bc          40  # 0x8cc170
L 0x7fbb203cda1d          18  # 0x8cc130
L 0x7fbb203257ed          39  # 0x8cc480
L 0x7fbb203279a3          72  # 0x8cc5e0
L 0x7fbb203268ad          43  # 0x8cc4f0
L 0x7fbb203cda1d          20  # 0x8cc460
L 0x7fbb203cda1d          24  # 0x8cc670
L 0x7fbb20328923          72  # 0x8cc6e0
L 0x7fbb20327add          47  # 0x8cc6a0
L 0x7fbb20f74790          72  # 0x8ce610
L 0x7fbb20f74790          72  # 0x8ce700
L 0x7fbb20f748bc          47  # 0x8ce670
L 0x7fbb20328a5d          40  # 0x8cc740
L 0x7fbb203cda1d          24  # 0x8cc640
L 0x7fbb20330563          72  # 0x8ce840
L 0x7fbb203cda1d          36  # 0x8ce8d0
L 0x7fbb203cda1d          36  # 0x8ce8a0
L 0x7fbb20f74790          72  # 0x8ddc10
L 0x7fbb203cda1d          28  # 0x8ddca0
L 0x7fbb203cda1d          28  # 0x8ddc70
L 0x7fbb2033069d          54  # 0x8ce900
L 0x7fbb20f74790          72  # 0x8ddd10
L 0x7fbb203cda1d          29  # 0x8ddda0
L 0x7fbb203cda1d          29  # 0x8ddd70
L 0x7fbb20f74790          72  # 0x8dde10
L 0x7fbb203cda1d          27  # 0x8ddea0
L 0x7fbb20f748bc          37  # 0x8dded0
L 0x7fbb203cda1d          27  # 0x8dde70
L 0x7fbb20f748bc          39  # 0x8dddd0
L 0x7fbb20f748bc          38  # 0x8ddcd0
L 0x7fbb20f748bc          53  # 0x8ce760
L 0x7fbb20318cc5          56  # 0x8c71d0
# total allocation requests:  26392 ; max. mem used 7546 kBytes
# leak   8582 Bytes	:-(
WORK TIME - 00:03:05.82
